アダム	名詞,固有名詞,人名,一般,*,*,アダム,アダム,アダム
，	記号,読点,*,*,*,*,，,，,，
 	記号,一般,*,*,*,*,*
ケナン	名詞,固有名詞,組織,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
 	記号,一般,*,*,*,*,*
エノク	名詞,固有名詞,組織,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
 	記号,一般,*,*,*,*,*
ノア	名詞,固有名詞,人名,一般,*,*,ノア,ノア,ノア
，	記号,読点,*,*,*,*,，,，,，
ヤペテ	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
子	名詞,一般,*,*,*,*,子,コ,コ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ゴメル	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
マゴグ	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
マダイ	名詞,一般,*,*,*,*,マダイ,マダイ,マダイ
，	記号,読点,*,*,*,*,，,，,，
ヤワン	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
トバル	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
メシェク	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
ティラス	名詞,一般,*,*,*,*,*
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
，	記号,読点,*,*,*,*,，,，,，
ゴメル	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
子	名詞,一般,*,*,*,*,子,コ,コ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
アシュケナズ	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
リファト	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
トガルマ	名詞,一般,*,*,*,*,*
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
，	記号,読点,*,*,*,*,，,，,，
ヤワン	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
子	名詞,一般,*,*,*,*,子,コ,コ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
