さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
，	記号,読点,*,*,*,*,，,，,，
ダビデ	名詞,一般,*,*,*,*,*
と	助詞,格助詞,一般,*,*,*,と,ト,ト
奉仕	名詞,サ変接続,*,*,*,*,奉仕,ホウシ,ホーシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
分団	名詞,一般,*,*,*,*,分団,ブンダン,ブンダン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
長	名詞,一般,*,*,*,*,長,チョウ,チョー
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
たて	名詞,一般,*,*,*,*,たて,タテ,タテ
琴	名詞,一般,*,*,*,*,琴,キン,キン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
，	記号,読点,*,*,*,*,，,，,，
弦楽器	名詞,一般,*,*,*,*,弦楽器,ゲンガッキ,ゲンガッキ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
シンバル	名詞,一般,*,*,*,*,シンバル,シンバル,シンバル
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
もっ	動詞,自立,*,*,五段・タ行,連用タ接続,もつ,モッ,モッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
預言	名詞,サ変接続,*,*,*,*,預言,ヨゲン,ヨゲン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
アサフ	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
ヘマン	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
エドトン	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
子	名詞,一般,*,*,*,*,子,コ,コ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
一部	名詞,副詞可能,*,*,*,*,一部,イチブ,イチブ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
奉仕	名詞,サ変接続,*,*,*,*,奉仕,ホウシ,ホーシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
取り分け	動詞,自立,*,*,一段,連用形,取り分ける,トリワケ,トリワケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
