これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
ヨルダン	名詞,固有名詞,地域,国,*,*,ヨルダン,ヨルダン,ヨルダン
地方	名詞,一般,*,*,*,*,地方,チホウ,チホー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
荒野	名詞,一般,*,*,*,*,荒野,アラノ,アラノ
，	記号,読点,*,*,*,*,，,，,，
スフ	名詞,一般,*,*,*,*,スフ,スフ,スフ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
面する	動詞,自立,*,*,サ変・−スル,基本形,面する,メンスル,メンスル
砂漠	名詞,一般,*,*,*,*,砂漠,サバク,サバク
平原	名詞,一般,*,*,*,*,平原,ヘイゲン,ヘイゲン
，	記号,読点,*,*,*,*,，,，,，
パラン	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
トフェル	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
ラバン	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
ハツェロト	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
ディザハブ	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
間	名詞,一般,*,*,*,*,間,マ,マ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
モー	名詞,固有名詞,人名,姓,*,*,モー,モー,モー
セ	名詞,一般,*,*,*,*,セ,セ,セ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
全	接頭詞,名詞接続,*,*,*,*,全,ゼン,ゼン
イスラエル	名詞,固有名詞,地域,国,*,*,イスラエル,イスラエル,イスラエル
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
話し	動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
言葉	名詞,一般,*,*,*,*,言葉,コトバ,コトバ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
ホレブ	名詞,一般,*,*,*,*,*
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
セイル	名詞,固有名詞,地域,一般,*,*,*
山	名詞,接尾,地域,*,*,*,山,サン,サン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
経	動詞,自立,*,*,一段,連用形,経る,ヘ,ヘ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
カデシュ	名詞,固有名詞,一般,*,*,*,*
･	名詞,サ変接続,*,*,*,*,*
バルネア	名詞,一般,*,*,*,*,*
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
一	名詞,数,*,*,*,*,一,イチ,イチ
日間	名詞,接尾,助数詞,*,*,*,日間,ニチカン,ニチカン
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
