死ん	動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
はえ	名詞,一般,*,*,*,*,はえ,ハエ,ハエ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
塗り	名詞,一般,*,*,*,*,塗り,ヌリ,ヌリ
油	名詞,一般,*,*,*,*,油,アブラ,アブラ
作り	名詞,接尾,一般,*,*,*,作り,ヅクリ,ズクリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
油	名詞,一般,*,*,*,*,油,アブラ,アブラ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
臭く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,臭い,クサク,クサク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
，	記号,読点,*,*,*,*,，,，,，
泡立た	動詞,自立,*,*,五段・タ行,未然形,泡立つ,アワダタ,アワダタ
せる	動詞,接尾,*,*,一段,基本形,せる,セル,セル
。	記号,句点,*,*,*,*,。,。,。
少し	副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
愚か	名詞,形容動詞語幹,*,*,*,*,愚か,オロカ,オロカ
さ	名詞,接尾,特殊,*,*,*,さ,サ,サ
も	助詞,係助詞,*,*,*,*,も,モ,モ
，	記号,読点,*,*,*,*,，,，,，
知恵	名詞,一般,*,*,*,*,知恵,チエ,チエ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
栄光	名詞,一般,*,*,*,*,栄光,エイコウ,エイコー
ゆえ	名詞,接尾,一般,*,*,*,ゆえ,ユエ,ユエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
貴重	名詞,形容動詞語幹,*,*,*,*,貴重,キチョウ,キチョー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
[	名詞,サ変接続,*,*,*,*,*
存在	名詞,サ変接続,*,*,*,*,存在,ソンザイ,ソンザイ
