ああ	感動詞,*,*,*,*,*,ああ,アア,アー
，	記号,読点,*,*,*,*,，,，,，
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
天	名詞,一般,*,*,*,*,天,テン,テン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
引き裂か	動詞,自立,*,*,五段・カ行イ音便,未然形,引き裂く,ヒキサカ,ヒキサカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
！	記号,一般,*,*,*,*,！,！,！
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
下っ	動詞,自立,*,*,五段・ラ行,連用タ接続,下る,クダッ,クダッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
来ら	動詞,自立,*,*,五段・ラ行,未然形,来る,キタラ,キタラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
！	記号,一般,*,*,*,*,！,！,！
火	名詞,一般,*,*,*,*,火,ヒ,ヒ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
茂っ	動詞,自立,*,*,五段・ラ行,連用タ接続,茂る,シゲッ,シゲッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
やぶ	動詞,自立,*,*,五段・ラ行,体言接続特殊２,やぶる,ヤブ,ヤブ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
燃え立た	動詞,自立,*,*,五段・タ行,未然形,燃え立つ,モエタタ,モエタタ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
，	記号,読点,*,*,*,*,，,，,，
火	名詞,一般,*,*,*,*,火,ヒ,ヒ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
