「	記号,括弧開,*,*,*,*,「,「,「
まことに	副詞,一般,*,*,*,*,まことに,マコトニ,マコトニ
，	記号,読点,*,*,*,*,，,，,，
銀	名詞,一般,*,*,*,*,銀,ギン,ギン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見いだす	動詞,自立,*,*,五段・サ行,基本形,見いだす,ミイダス,ミイダス
所	名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
，	記号,読点,*,*,*,*,，,，,，
 	記号,一般,*,*,*,*,*
鉄	名詞,一般,*,*,*,*,鉄,テツ,テツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
塵	名詞,一般,*,*,*,*,塵,チリ,チリ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
取ら	動詞,自立,*,*,五段・ラ行,未然形,取る,トラ,トラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
，	記号,読点,*,*,*,*,，,，,，
 	記号,一般,*,*,*,*,*
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
闇	名詞,一般,*,*,*,*,闇,ヤミ,ヤミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
終わり	動詞,自立,*,*,五段・ラ行,連用形,終わる,オワリ,オワリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
設け	動詞,自立,*,*,一段,連用形,設ける,モウケ,モーケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
[	名詞,サ変接続,*,*,*,*,*
人々	名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
]	名詞,サ変接続,*,*,*,*,*
