それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ
[	名詞,サ変接続,*,*,*,*,*
イエス	名詞,一般,*,*,*,*,イエス,イエス,イエス
]	名詞,サ変接続,*,*,*,*,*
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ご	接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
二	名詞,数,*,*,*,*,二,ニ,ニ
弟子	名詞,一般,*,*,*,*,弟子,デシ,デシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
呼び寄せ	動詞,自立,*,*,一段,連用形,呼び寄せる,ヨビヨセ,ヨビヨセ
，	記号,読点,*,*,*,*,，,，,，
汚れ	動詞,自立,*,*,一段,連用形,汚れる,ヨゴレ,ヨゴレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
霊	名詞,一般,*,*,*,*,霊,レイ,レイ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
制する	動詞,自立,*,*,サ変・−スル,基本形,制する,セイスル,セイスル
権威	名詞,一般,*,*,*,*,権威,ケンイ,ケンイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
与え	動詞,自立,*,*,一段,連用形,与える,アタエ,アタエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
追い出し	動詞,自立,*,*,五段・サ行,連用形,追い出す,オイダシ,オイダシ
，	記号,読点,*,*,*,*,，,，,，
あらゆる	連体詞,*,*,*,*,*,あらゆる,アラユル,アラユル
疾患	名詞,一般,*,*,*,*,疾患,シッカン,シッカン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
あらゆる	連体詞,*,*,*,*,*,あらゆる,アラユル,アラユル
病	名詞,一般,*,*,*,*,病,ヤマイ,ヤマイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
治す	動詞,自立,*,*,五段・サ行,基本形,治す,ナオス,ナオス
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
二	名詞,数,*,*,*,*,二,ニ,ニ
使徒	名詞,一般,*,*,*,*,使徒,シト,シト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
名	名詞,一般,*,*,*,*,名,ナ,ナ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
次	名詞,一般,*,*,*,*,次,ツギ,ツギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
とおり	名詞,非自立,副詞可能,*,*,*,とおり,トオリ,トーリ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
まず	副詞,一般,*,*,*,*,まず,マズ,マズ
，	記号,読点,*,*,*,*,，,，,，
ペ	名詞,一般,*,*,*,*,ペ,ペ,ペ
テロ	名詞,一般,*,*,*,*,テロ,テロ,テロ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
呼ば	動詞,自立,*,*,五段・バ行,未然形,呼ぶ,ヨバ,ヨバ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
シモン	名詞,固有名詞,組織,*,*,*,シモン,シモン,シモン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ
アンデレ	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
ゼベダイ	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
[	名詞,サ変接続,*,*,*,*,*
子	名詞,接尾,一般,*,*,*,子,コ,コ
]	名詞,サ変接続,*,*,*,*,*
ヤコブ	名詞,一般,*,*,*,*,*
と	助詞,格助詞,一般,*,*,*,と,ト,ト
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ
ヨハネ	名詞,固有名詞,人名,名,*,*,ヨハネ,ヨハネ,ヨハネ
，	記号,読点,*,*,*,*,，,，,，
フィリポ	名詞,一般,*,*,*,*,*
と	助詞,並立助詞,*,*,*,*,と,ト,ト
バルトロマイ	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
トマス	名詞,一般,*,*,*,*,*
と	助詞,並立助詞,*,*,*,*,と,ト,ト
収税	名詞,一般,*,*,*,*,収税,シュウゼイ,シューゼイ
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
マタイ	名詞,一般,*,*,*,*,*
，	記号,読点,*,*,*,*,，,，,，
アルパヨ	名詞,一般,*,*,*,*,*
