それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ
エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
アロン	名詞,一般,*,*,*,*,アロン,アロン,アロン
に対して	助詞,格助詞,連語,*,*,*,に対して,ニタイシテ,ニタイシテ
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
「	記号,括弧開,*,*,*,*,「,「,「
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
子	名詞,一般,*,*,*,*,子,コ,コ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
，	記号,読点,*,*,*,*,，,，,，
また	接続詞,*,*,*,*,*,また,マタ,マタ
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
と共に	助詞,格助詞,連語,*,*,*,と共に,トトモニ,トトモニ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
父	名詞,一般,*,*,*,*,父,チチ,チチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
家	名詞,一般,*,*,*,*,家,イエ,イエ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
聖なる	連体詞,*,*,*,*,*,聖なる,セイナル,セイナル
所	名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
と	助詞,並立助詞,*,*,*,*,と,ト,ト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
責め	名詞,一般,*,*,*,*,責め,セメ,セメ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
負う	動詞,自立,*,*,五段・ワ行促音便,基本形,負う,オウ,オウ
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
，	記号,読点,*,*,*,*,，,，,，
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
および	接続詞,*,*,*,*,*,および,オヨビ,オヨビ
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
と共に	助詞,格助詞,連語,*,*,*,と共に,トトモニ,トトモニ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
