エホバ	名詞,一般,*,*,*,*,エホバ,エホバ,エホバ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
牧者	名詞,一般,*,*,*,*,牧者,ボクシャ,ボクシャ
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
[	名詞,サ変接続,*,*,*,*,*
神	名詞,接尾,一般,*,*,*,神,シン,シン
]	名詞,サ変接続,*,*,*,*,*
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
草	名詞,一般,*,*,*,*,草,クサ,クサ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ
牧場	名詞,一般,*,*,*,*,牧場,ボクジョウ,ボクジョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
横たわら	動詞,自立,*,*,五段・ラ行,未然形,横たわる,ヨコタワラ,ヨコタワラ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
，	記号,読点,*,*,*,*,，,，,，
 	記号,一般,*,*,*,*,*
[	名詞,サ変接続,*,*,*,*,*
神	名詞,接尾,一般,*,*,*,神,シン,シン
]	名詞,サ変接続,*,*,*,*,*
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
魂	名詞,一般,*,*,*,*,魂,タマシイ,タマシー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
さわやか	名詞,形容動詞語幹,*,*,*,*,さわやか,サワヤカ,サワヤカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ください	動詞,非自立,*,*,五段・ラ行特殊,連用形,くださる,クダサイ,クダサイ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
たとえ	副詞,一般,*,*,*,*,たとえ,タトエ,タトエ
深い	形容詞,自立,*,*,形容詞・アウオ段,基本形,深い,フカイ,フカイ
陰	名詞,一般,*,*,*,*,陰,カゲ,カゲ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
谷	名詞,一般,*,*,*,*,谷,タニ,タニ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
歩も	動詞,自立,*,*,五段・マ行,未然ウ接続,歩む,アユモ,アユモ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
とも	助詞,接続助詞,*,*,*,*,とも,トモ,トモ
，	記号,読点,*,*,*,*,，,，,，
 	記号,一般,*,*,*,*,*
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
敵意	名詞,一般,*,*,*,*,敵意,テキイ,テキイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
示す	動詞,自立,*,*,五段・サ行,基本形,示す,シメス,シメス
者	名詞,一般,*,*,*,*,者,モノ,モノ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
，	記号,読点,*,*,*,*,，,，,，
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
食卓	名詞,一般,*,*,*,*,食卓,ショクタク,ショクタク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
整え	動詞,自立,*,*,一段,連用形,整える,トトノエ,トトノエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ください	動詞,非自立,*,*,五段・ラ行特殊,連用形,くださる,クダサイ,クダサイ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
 	記号,一般,*,*,*,*,*
確か	名詞,形容動詞語幹,*,*,*,*,確か,タシカ,タシカ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
，	記号,読点,*,*,*,*,，,，,，
善良	名詞,一般,*,*,*,*,善良,ゼンリョウ,ゼンリョー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
愛	名詞,一般,*,*,*,*,愛,アイ,アイ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
親切	名詞,形容動詞語幹,*,*,*,*,親切,シンセツ,シンセツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
，	記号,読点,*,*,*,*,，,，,，
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
命	名詞,一般,*,*,*,*,命,イノチ,イノチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日	名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
限り	名詞,非自立,副詞可能,*,*,*,限り,カギリ,カギリ
わたし	名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
追う	動詞,自立,*,*,五段・ワ行促音便,基本形,追う,オウ,オウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。	記号,句点,*,*,*,*,。,。,。
EOS
