しかし	接続詞,*,*,*,*,*,しかし,シカシ,シカシ
あなた	名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
，	記号,読点,*,*,*,*,，,，,，
健全	名詞,形容動詞語幹,*,*,*,*,健全,ケンゼン,ケンゼン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
教え	名詞,一般,*,*,*,*,教え,オシエ,オシエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
かなう	動詞,自立,*,*,五段・ワ行促音便,基本形,かなう,カナウ,カナウ
事柄	名詞,一般,*,*,*,*,事柄,コトガラ,コトガラ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
いつも	副詞,一般,*,*,*,*,いつも,イツモ,イツモ
語り	動詞,自立,*,*,五段・ラ行,連用形,語る,カタリ,カタリ
なさい	動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,なさる,ナサイ,ナサイ
。	記号,句点,*,*,*,*,。,。,。
年取っ	動詞,自立,*,*,五段・ラ行,連用タ接続,年取る,トシトッ,トシトッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
男子	名詞,一般,*,*,*,*,男子,ダンシ,ダンシ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
習慣	名詞,一般,*,*,*,*,習慣,シュウカン,シューカン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
節度	名詞,一般,*,*,*,*,節度,セツド,セツド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
守り	動詞,自立,*,*,五段・ラ行,連用形,守る,マモリ,マモリ
，	記号,読点,*,*,*,*,，,，,，
まじめ	名詞,形容動詞語幹,*,*,*,*,まじめ,マジメ,マジメ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
，	記号,読点,*,*,*,*,，,，,，
健全	名詞,形容動詞語幹,*,*,*,*,健全,ケンゼン,ケンゼン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
思い	名詞,一般,*,*,*,*,思い,オモイ,オモイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
