集い	名詞,一般,*,*,*,*,集い,ツドイ,ツドイ
寄れ	動詞,自立,*,*,一段,連用形,寄れる,ヨレ,ヨレ
，	記号,読点,*,*,*,*,，,，,，
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
，	記号,読点,*,*,*,*,，,，,，
集合	名詞,サ変接続,*,*,*,*,集合,シュウゴウ,シューゴー
せよ	動詞,自立,*,*,サ変・スル,命令ｙｏ,する,セヨ,セヨ
，	記号,読点,*,*,*,*,，,，,，
恥辱	名詞,一般,*,*,*,*,恥辱,チジョク,チジョク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
青ざめる	動詞,自立,*,*,一段,基本形,青ざめる,アオザメル,アオザメル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
国民	名詞,一般,*,*,*,*,国民,コクミン,コクミン
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
。	記号,句点,*,*,*,*,。,。,。
法令	名詞,一般,*,*,*,*,法令,ホウレイ,ホーレイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
[	名詞,サ変接続,*,*,*,*,*
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
]	名詞,サ変接続,*,*,*,*,*
産み	動詞,自立,*,*,五段・マ行,連用形,産む,ウミ,ウミ
出さ	動詞,自立,*,*,五段・サ行,未然形,出す,ダサ,ダサ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
うち	名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ
，	記号,読点,*,*,*,*,，,，,，
[	名詞,サ変接続,*,*,*,*,*
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
]	名詞,サ変接続,*,*,*,*,*
日	名詞,接尾,一般,*,*,*,日,ビ,ビ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
もみ	名詞,一般,*,*,*,*,もみ,モミ,モミ
がら	名詞,接尾,一般,*,*,*,がら,ガラ,ガラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
過ぎ去ら	動詞,自立,*,*,五段・ラ行,未然形,過ぎ去る,スギサラ,スギサラ
[	名詞,サ変接続,*,*,*,*,*
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
